Player,Pos,Team,Age,Yrs,Dollars,Guaranteed,% GTD,Avg. Salary,Free Agent
BridgesMikal Bridges (2018-2020) ,SF,PHX,23,3,"$12,072,960","$12,072,960",100.00%,"$4,024,320",2022
Finney-SmithDorian Finney-Smith (2019-2021) ,SF,DAL,26,3,"$12,000,000","$12,000,000",100.00%,"$4,000,000",2022
BelinelliMarco Belinelli (2018-2019) ,SG,SAS,33,2,"$12,000,000","$12,000,000",100.00%,"$6,000,000",2020
HarrellMontrezl Harrell (2018-2019) ,PF,LAC,25,2,"$12,000,000","$12,000,000",100.00%,"$6,000,000",2020
SmithIshmael Smith (2019-2020) ,PG,WAS,31,2,"$12,000,000","$12,000,000",100.00%,"$6,000,000",2021
CulverJarrett Culver (2019-2020) ,SF,MIN,20,2,"$11,917,920","$11,917,920",100.00%,"$5,958,960",2023
HoodRodney Hood (2019-2020) ,SG,POR,27,2,"$11,721,900","$11,721,900",100.00%,"$5,860,950",2021
MakerThon Maker (2016-2019) ,C,DETSigned w/MIL,22,4,"$11,622,123","$11,622,123",100.00%,"$2,905,531",2020
LeafTJ Leaf (2017-2020) ,PF,IND,22,4,"$11,576,025","$11,576,025",100.00%,"$2,894,006",2021
Gilgeous-AlexanderShai Gilgeous-Alexander (2018-2020) ,PG,OKCSigned w/LAC,21,3,"$11,469,600","$11,469,600",100.00%,"$3,823,200",2022
LaymanJake Layman (2019-2021) ,SF,MINSigned w/POR,25,3,"$11,283,255","$11,283,255",100.00%,"$3,761,085",2022
SabonisDomantas Sabonis (2016-2019) ,C,INDSigned w/OKC,23,4,"$11,179,555","$11,179,555",100.00%,"$2,794,889",0
HouseDanuel House (2019-2021) ,SF,HOU,26,3,"$11,151,000","$11,151,000",100.00%,"$3,717,000",2022
CollinsJohn Collins (2017-2020) ,PF,ATL,22,4,"$11,059,862","$11,059,862",100.00%,"$2,764,966",2021
LylesTrey Lyles (2019-2020) ,PF,SAS,24,2,"$11,000,000","$6,500,000",59.09%,"$5,500,000",2021
BridgesMiles Bridges (2018-2020) ,SF,CHA,21,3,"$10,896,360","$10,896,360",100.00%,"$3,632,120",2022
WhiteCoby White (2019-2020) ,PG,CHI,19,2,"$10,879,800","$10,879,800",100.00%,"$5,439,900",2023
SaricDario Saric (2016-2019) ,PF,PHXSigned w/PHI,25,4,"$10,749,666","$10,749,666",100.00%,"$2,687,417",2020
PrinceTaurean Prince (2016-2019) ,SF,BKNSigned w/ATL,25,4,"$10,749,666","$10,749,666",100.00%,"$2,687,417",0
JacksonJustin Jackson (2017-2020) ,SF,DALSigned w/SAC,24,4,"$10,676,130","$10,676,130",100.00%,"$2,669,033",2021
BaynesAron Baynes (2018-2019) ,C,PHXSigned w/BOS,32,2,"$10,646,880","$10,646,880",100.00%,"$5,323,440",2020
RobinsonJerome Robinson (2018-2020) ,SG,LAC,22,3,"$10,351,440","$10,351,440",100.00%,"$3,450,480",2022
FergusonTerrance Ferguson (2017-2020) ,SG,OKC,21,4,"$10,323,693","$10,323,693",100.00%,"$2,580,923",2021
AllenJarrett Allen (2017-2020) ,C,BKN,21,4,"$10,034,582","$10,034,582",100.00%,"$2,508,646",2021
TheisDaniel Theis (2019-2020) ,PF,BOS,27,2,"$10,000,000","$5,000,000",50.00%,"$5,000,000",2021
HayesJaxson Hayes (2019-2020) ,C,NOP,19,2,"$9,967,200","$9,967,200",100.00%,"$4,983,600",2023
ValentineDenzel Valentine (2016-2019) ,SG,CHI,25,4,"$9,936,769","$9,936,769",100.00%,"$2,484,192",2020
Porter Jr.Michael Porter Jr. (2018-2020) ,PF,DEN,21,3,"$9,834,360","$9,834,360",100.00%,"$3,278,120",2022
ScottMike Scott (2019-2020) ,PF,PHI,31,2,"$9,800,000","$9,800,000",100.00%,"$4,900,000",2021
HolmesRichaun Holmes (2019-2020) ,PF,SAC,26,2,"$9,772,350","$9,772,350",100.00%,"$4,886,175",2021
GreenJaMychal Green (2019-2020) ,PF,LAC,29,2,"$9,772,350","$9,772,350",100.00%,"$4,886,175",2021
BradleyAvery Bradley (2019-2020) ,SG,LAL,28,2,"$9,772,350","$9,772,350",100.00%,"$4,886,175",2021
DavisEd Davis (2019-2020) ,PF,UTH,30,2,"$9,772,350","$9,772,350",100.00%,"$4,886,175",2021
LopezRobin Lopez (2019-2020) ,C,MIL,31,2,"$9,772,350","$9,772,350",100.00%,"$4,886,175",2021
KanterEnes Kanter (2019-2020) ,C,BOS,27,2,"$9,772,350","$9,772,350",100.00%,"$4,886,175",2021
AnunobyOG Anunoby (2017-2020) ,SF,TOR,22,4,"$9,751,975","$9,751,975",100.00%,"$2,437,994",2021
HernangomezJuan Hernangomez (2016-2019) ,PF,DEN,24,4,"$9,551,670","$9,551,670",100.00%,"$2,387,918",2020
Brown Jr.Troy Brown Jr. (2018-2020) ,SF,WAS,20,3,"$9,341,400","$9,341,400",100.00%,"$3,113,800",2022
HachimuraRui Hachimura (2019-2020) ,PF,WAS,21,2,"$9,162,000","$9,162,000",100.00%,"$4,581,000",2023
AdebayoEdrice Adebayo (2017-2019) ,C,MIA,22,3,"$8,900,280","$8,900,280",100.00%,"$2,966,760",2021
SmithZhaire Smith (2018-2020) ,SG,PHI,20,3,"$8,875,200","$8,875,200",100.00%,"$2,958,400",2022
ReddishCam Reddish (2019-2020) ,SF,ATL,20,2,"$8,703,720","$8,703,720",100.00%,"$4,351,860",2023
KuzmaKyle Kuzma (2017-2020) ,PF,LAL,24,4,"$8,650,178","$8,650,178",100.00%,"$2,162,545",2021
BradleyTony Bradley (2017-2020) ,C,UTH,21,4,"$8,598,860","$8,598,860",100.00%,"$2,149,715",2021
WhiteDerrick White (2017-2020) ,PG,SAS,25,4,"$8,536,124","$8,536,124",100.00%,"$2,134,031",2021
LenAlex Len (2018-2019) ,C,ATL,26,2,"$8,510,000","$8,510,000",100.00%,"$4,255,000",2020
HartJosh Hart (2017-2020) ,SG,NOPSigned w/LAL,24,4,"$8,474,999","$8,474,999",100.00%,"$2,118,750",2021
NogueiraLucas Nogueira (2014-2017) ,C,TOR,27,4,"$8,473,305","$8,473,305",100.00%,"$2,118,326",2018
DiVincenzoDonte DiVincenzo (2018-2020) ,SG,MIL,22,3,"$8,430,960","$8,430,960",100.00%,"$2,810,320",2022
OsmanCedi Osman (2017-2019) ,SF,CLE,24,3,"$8,317,064","$8,317,064",100.00%,"$2,772,355",0
JohnsonCameron Johnson (2019-2020) ,SF,PHX,23,2,"$8,268,600","$8,268,600",100.00%,"$4,134,300",2023
BullockReggie Bullock (2019-2020) ,SG,NYK,28,2,"$8,200,000","$5,000,000",60.98%,"$4,100,000",2021
McGeeJaVale McGee (2019-2020) ,C,LAL,31,2,"$8,200,000","$8,200,000",100.00%,"$4,100,000",2021
Walker IVLonnie Walker IV (2018-2020) ,SG,SAS,20,3,"$8,009,640","$8,009,640",100.00%,"$2,669,880",2022
McCawPatrick McCaw (2019-2020) ,SG,TOR,24,2,"$8,000,000","$8,000,000",100.00%,"$4,000,000",2021
MelliNicolo Melli (2019-2020) ,PF,NOP,28,2,"$8,000,000","$8,000,000",100.00%,"$4,000,000",2021
WashingtonPJ Washington (2019-2020) ,PF,CHA,21,2,"$7,855,440","$7,855,440",100.00%,"$3,927,720",2023
BeasleyMalik Beasley (2016-2019) ,SG,DEN,22,4,"$7,833,514","$7,833,514",100.00%,"$1,958,379",2020
HuerterKevin Huerter (2018-2020) ,SG,ATL,21,3,"$7,649,160","$7,649,160",100.00%,"$2,549,720",2022
GrantJerian Grant (2015-2018) ,PG,ORLSigned w/NYK,27,4,"$7,568,554","$7,568,554",100.00%,"$1,892,139",2019
LeVertCaris LeVert (2016-2019) ,SG,BKN,25,4,"$7,523,278","$7,523,278",100.00%,"$1,880,820",0
OkogieJosh Okogie (2018-2020) ,SG,MIN,21,3,"$7,462,440","$7,462,440",100.00%,"$2,487,480",2022
HerroTyler Herro (2019-2020) ,SG,MIA,19,2,"$7,462,440","$7,462,440",100.00%,"$3,731,220",2023
JohnsonStanley Johnson (2019-2020) ,SF,TOR,23,2,"$7,427,150","$7,427,150",100.00%,"$3,713,575",2021
BembryDeAndre' Bembry (2016-2019) ,SF,ATL,25,4,"$7,305,582","$7,305,582",100.00%,"$1,826,396",2020
LangfordRomeo Langford (2019-2020) ,SF,BOS,20,2,"$7,089,600","$7,089,600",100.00%,"$3,544,800",2023
AllenGrayson Allen (2018-2020) ,SG,MEMSigned w/UTH,24,3,"$7,049,040","$7,049,040",100.00%,"$2,349,680",2022
MarjanovicBoban Marjanovic (2019-2020) ,C,DAL,31,2,"$7,000,000","$7,000,000",100.00%,"$3,500,000",2021
McConnellT.J. McConnell (2019-2020) ,PG,IND,27,2,"$7,000,000","$4,500,000",64.29%,"$3,500,000",2021
BoldenJonah Bolden (2018-2021) ,SF,PHI,23,4,"$7,000,000","$3,388,450",48.41%,"$1,750,000",2022
TrierAllonzo Trier (2018-2018) ,SG,NYK,23,2,"$6,933,100","$3,382,000",48.78%,"$3,466,550",2020
HutchisonChandler Hutchison (2018-2020) ,SF,CHI,23,3,"$6,767,280","$6,767,280",100.00%,"$2,255,760",2022
DoumbouyaSekou Doumbouya (2019-2020) ,SF,DET,18,2,"$6,734,520","$6,734,520",100.00%,"$3,367,260",2023
GilesHarry Giles (2017-2019) ,PF,SAC,21,3,"$6,645,240","$6,645,240",100.00%,"$2,215,080",2020
UdohEkpe Udoh (2017-2018) ,C,UTHSigned w/LAC,32,2,"$6,560,000","$6,560,000",100.00%,"$3,280,000",2019
MorrisMarkieff Morris (2019-2019) ,PF,DET,30,1,"$6,560,000","$6,560,000",100.00%,"$6,560,000",2020
HolidayAaron Holiday (2018-2020) ,PG,IND,23,3,"$6,496,800","$6,496,800",100.00%,"$2,165,600",2022
SiakamPascal Siakam (2016-2019) ,PF,TOR,25,4,"$6,405,441","$6,405,441",100.00%,"$1,601,360",0
LabissiereSkal Labissiere (2016-2019) ,PF,PORSigned w/SAC,23,4,"$6,385,249","$6,385,249",100.00%,"$1,596,312",2020
MurrayDejounte Murray (2016-2019) ,PG,SAS,23,4,"$6,359,377","$6,359,377",100.00%,"$1,589,844",0
JonesDamian Jones (2016-2019) ,C,ATLSigned w/GSW,24,4,"$6,334,179","$6,334,179",100.00%,"$1,583,545",2020
SimonsAnfernee Simons (2018-2020) ,SG,POR,20,3,"$6,237,120","$6,237,120",100.00%,"$2,079,040",2022
FerrellYogi Ferrell (2018-2019) ,PG,SAC,26,2,"$6,150,000","$3,000,000",48.78%,"$3,075,000",2020
GaffordDaniel Gafford (2019-2022) ,PF,CHI,21,4,"$6,129,593","$2,416,291",39.42%,"$1,532,398",2023
SmailagicAlen Smailagic (2019-2022) ,PF,GSW,19,4,"$6,129,593","$2,416,291",39.42%,"$1,532,398",2023
McDanielsJalen McDaniels (2019-2022) ,PG,CHA,21,4,"$6,129,593","$500,000",8.16%,"$1,532,398",2023
BrunsonJalen Brunson (2018-2021) ,PG,DAL,23,4,"$6,112,770","$4,310,713",70.52%,"$1,528,193",2022
Alexander-WalkerNickeil Alexander-Walker (2019-2020) ,SG,NOP,21,2,"$6,078,000","$6,078,000",100.00%,"$3,039,000",2023
HernangomezWilly Hernangomez (2016-2019) ,C,CHASigned w/NYK,25,4,"$6,032,436","$6,032,436",100.00%,"$1,508,109",2020
BirchKhem Birch (2019-2020) ,C,ORL,27,2,"$6,000,000","$6,000,000",100.00%,"$3,000,000",2021
ArcidiaconoRyan Arcidiacono (2019-2020) ,PG,CHI,25,2,"$6,000,000","$6,000,000",100.00%,"$3,000,000",2022
ForbesBryn Forbes (2018-2019) ,SG,SAS,26,2,"$6,000,000","$6,000,000",100.00%,"$3,000,000",2020
CookQuinn Cook (2019-2020) ,PG,LAL,26,2,"$6,000,000","$4,000,000",66.67%,"$3,000,000",2021
WagnerMoritz Wagner (2018-2020) ,PF,WASSigned w/LAL,22,3,"$5,987,520","$5,987,520",100.00%,"$1,995,840",2022
ZizicAnte Zizic (2017-2019) ,C,CLESigned w/BOS,22,3,"$5,879,760","$5,879,760",100.00%,"$1,959,920",2020
ShametLandry Shamet (2018-2020) ,PG,LACSigned w/PHI,22,3,"$5,788,800","$5,788,800",100.00%,"$1,929,600",2022
BitadzeGoga Bitadze (2019-2020) ,C,IND,20,2,"$5,774,280","$5,774,280",100.00%,"$2,887,140",2023
WilliamsRobert Williams (2018-2020) ,C,BOS,22,3,"$5,621,880","$5,621,880",100.00%,"$1,873,960",2022
EvansJacob Evans (2018-2020) ,SG,GSW,22,3,"$5,587,440","$5,587,440",100.00%,"$1,862,480",2022
MusaDzanan Musa (2018-2020) ,SG,BKN,20,3,"$5,546,640","$5,546,640",100.00%,"$1,848,880",2022
SamanicLuka Samanic (2019-2020) ,PF,SAS,19,2,"$5,514,240","$5,514,240",100.00%,"$2,757,120",2023
SpellmanOmari Spellman (2018-2020) ,PF,GSWSigned w/ATL,22,3,"$5,506,560","$5,506,560",100.00%,"$1,835,520",2022
CarusoAlex Caruso (2019-2020) ,PG,LAL,25,2,"$5,500,000","$5,500,000",100.00%,"$2,750,000",2021
GuduricMarko Guduric (2019-2020) ,SG,MEM,24,2,"$5,375,000","$5,375,000",100.00%,"$2,687,500",2021
ThybulleMatisse Thybulle (2019-2020) ,SF,PHI,22,2,"$5,293,440","$5,293,440",100.00%,"$2,646,720",2023
MatthewsWesley Matthews (2019-2020) ,SG,MIL,33,2,"$5,257,744","$5,257,744",100.00%,"$2,628,872",2021
SwaniganCaleb Swanigan (2017-2019) ,PF,SACSigned w/POR,22,3,"$5,239,080","$5,239,080",100.00%,"$1,746,360",2020
RondoRajon Rondo (2019-2020) ,PG,LAL,33,2,"$5,184,358","$5,184,358",100.00%,"$2,592,179",2021
PoirierVincent Poirier (2019-2020) ,C,BOS,26,2,"$5,125,000","$5,125,000",100.00%,"$2,562,500",2021
KurucsRodions Kurucs (2018-2020) ,SF,BKN,21,3,"$5,097,708","$5,097,708",100.00%,"$1,699,236",2022
ClarkeBrandon Clarke (2019-2020) ,PF,MEM,23,2,"$5,081,760","$5,081,760",100.00%,"$2,540,880",2023
MiltonShake Milton (2019-2021) ,PG,PHI,23,3,"$4,994,028","$4,994,028",100.00%,"$1,664,676",2023
NiangGeorges Niang (2018-2020) ,SF,UTH,26,3,"$4,975,012","$1,512,601",30.40%,"$1,658,337",2021
WilliamsGrant Williams (2019-2020) ,SF,BOS,20,2,"$4,878,600","$4,878,600",100.00%,"$2,439,300",2023
Williams-GossNigel Williams-Goss (2019-2021) ,PG,UTH,25,3,"$4,800,602","$1,500,000",31.25%,"$1,600,201",2022
RobyIsaiah Roby (2019-2021) ,PF,DAL,21,3,"$4,800,602","$3,017,981",62.87%,"$1,600,201",2023
KaminskyFrank Kaminsky (2019-2019) ,PF,PHX,26,1,"$4,767,000","$4,767,000",100.00%,"$4,767,000",2021
TempleGarrett Temple (2019-2019) ,SG,BKN,33,1,"$4,767,000","$4,767,000",100.00%,"$4,767,000",2021
HolidayJustin Holiday (2019-2019) ,SG,IND,30,1,"$4,767,000","$4,767,000",100.00%,"$4,767,000",2020
RobinsonMitchell Robinson (2018-2020) ,C,NYK,21,3,"$4,709,013","$3,045,152",64.67%,"$1,569,671",2022
FernandoBruno Fernando (2019-2021) ,C,ATL,21,3,"$4,700,602","$4,700,602",100.00%,"$1,566,867",2022
NowellJaylen Nowell (2019-2021) ,G,MIN,20,4,"$4,700,602","$1,400,000",29.78%,"$1,175,151",2023
BazleyDarius Bazley (2019-2020) ,SF,OKC,19,2,"$4,683,960","$4,683,960",100.00%,"$2,341,980",2023
MorrisMonte Morris (2018-2020) ,PG,DEN,24,3,"$4,661,321","$2,937,614",63.02%,"$1,553,774",2021
RiversAustin Rivers (2019-2020) ,SG,HOU,27,2,"$4,543,981","$4,543,981",100.00%,"$2,271,991",2021
EdwardsCarsen Edwards (2019-2021) ,PG,BOS,21,3,"$4,528,628","$4,528,628",100.00%,"$1,509,543",2023
KornetLuke Kornet (2019-2020) ,PF,CHI,24,2,"$4,500,000","$4,500,000",100.00%,"$2,250,000",2021
JeromeTy Jerome (2019-2020) ,PG,PHX,22,2,"$4,496,520","$4,496,520",100.00%,"$2,248,260",2023
MartinCody Martin (2019-2021) ,SF,CHA,24,3,"$4,473,912","$2,691,291",60.16%,"$1,491,304",2022
Cauley-SteinWillie Cauley-Stein (2019-2020) ,C,GSW,26,2,"$4,463,840","$4,463,840",100.00%,"$2,231,920",2021
DavisEd Davis (2018-2018) ,PF,UTHSigned w/BKN,30,1,"$4,449,000","$4,449,000",100.00%,"$4,449,000",2019
OkoboÉlie Okobo (2018-2020) ,PG,PHX,22,3,"$4,319,177","$2,655,316",61.48%,"$1,439,726",2022
LittleNassir Little (2019-2020) ,SF,POR,19,2,"$4,316,160","$4,316,160",100.00%,"$2,158,080",2023
McLemoreBen McLemore (2019-2020) ,SG,HOU,26,2,"$4,311,628","$500,000",11.60%,"$2,155,814",2021
MuscalaMike Muscala (2019-2020) ,PF,OKC,28,2,"$4,311,628","$4,311,628",100.00%,"$2,155,814",2021
MannTerance Mann (2019-2021) ,SG,LAC,23,3,"$4,300,602","$2,517,981",58.55%,"$1,433,534",2023
SchofieldAdmiral Schofield (2019-2021) ,SF,WAS,22,3,"$4,300,602","$2,517,981",58.55%,"$1,433,534",2022
OjeleyeSemi Ojeleye (2017-2019) ,PF,BOS,24,3,"$4,288,654","$4,290,698",100.05%,"$1,429,551",2021
OkpalaKZ Okpala (2019-2021) ,SF,MIA,20,3,"$4,198,912","$4,198,912",100.00%,"$1,399,637",2022
ThomasMatt Thomas (2019-2021) ,G,TOR,25,3,"$4,198,912","$1,623,310",38.66%,"$1,399,637",2022
RobinsonJustin Robinson (2019-2021) ,PG,WAS,21,3,"$4,198,912","$250,000",5.95%,"$1,399,637",2022
LecqueJalen Lecque (2019-2021) ,PG,PHX,19,3,"$4,198,912","$2,416,291",57.55%,"$1,399,637",2023
JamesJustin James (2019-2021) ,SG,SAC,0,3,"$4,198,912","$2,416,291",57.55%,"$1,399,637",2022
MartinCaleb Martin (2019-2021) ,SF,CHA,24,3,"$4,198,912","$500,000",11.91%,"$1,399,637",2022
ClaxtonNicolas Claxton (2019-2021) ,C,BKN,20,3,"$4,198,912","$4,198,912",100.00%,"$1,399,637",2022
CancarVlatko Cancar (2019-2021) ,SF,DEN,22,3,"$4,198,912","$2,416,291",57.55%,"$1,399,637",2022
KiddStanton Kidd (2019-2021) ,SF,UTH,27,3,"$4,198,912","$250,000",5.95%,"$1,399,637",2022
ReidNaz Reid (2019-2021) ,PF,MIN,20,3,"$4,198,912","$898,310",21.39%,"$1,399,637",2023
HernandezDewan Hernandez (2019-2021) ,C,TOR,22,3,"$4,198,912","$500,000",11.91%,"$1,399,637",2022
OniMiye Oni (2019-2021) ,SG,UTH,22,3,"$4,198,912","$898,310",21.39%,"$1,399,637",2022
PaschallEric Paschall (2019-2021) ,PF,GSW,23,3,"$4,198,912","$4,198,912",100.00%,"$1,399,637",2022
WindlerDylan Windler (2019-2020) ,SF,CLE,23,2,"$4,173,240","$4,173,240",100.00%,"$2,086,620",2023
NaderAbdel Nader (2017-2019) ,SF,OKCSigned w/BOS,26,3,"$4,164,095","$4,164,095",100.00%,"$1,388,032",2021
SumnerEdmond Sumner (2019-2020) ,PG,IND,23,2,"$4,160,000","$4,160,000",100.00%,"$2,080,000",2022
DotsonDamyean Dotson (2017-2019) ,SG,NYK,25,3,"$4,096,762","$4,096,762",100.00%,"$1,365,587",2020
BongaIsaac Bonga (2018-2020) ,PG,WASSigned w/LAL,20,3,"$4,080,713","$2,416,852",59.23%,"$1,360,238",2021
GrahamDevonte' Graham (2018-2020) ,PG,CHA,24,3,"$4,069,177","$2,405,316",59.11%,"$1,356,392",2021
KabengeleMfiondu Kabengele (2019-2020) ,C,LAC,22,2,"$4,052,880","$4,052,880",100.00%,"$2,026,440",2023
IwunduWesley Iwundu (2017-2019) ,SF,ORL,24,3,"$4,046,762","$4,046,762",100.00%,"$1,348,921",2020
PooleJordan Poole (2019-2020) ,SG,GSW,20,2,"$4,028,040","$4,028,040",100.00%,"$2,014,020",2023
EnnisJames Ennis (2019-2020) ,SF,PHI,29,2,"$4,012,890","$4,012,890",100.00%,"$2,006,445",2021
CraigTorrey Craig (2018-2019) ,SF,DEN,28,2,"$4,000,000","$4,000,000",100.00%,"$2,000,000",2020
JohnsonKeldon Johnson (2019-2020) ,SF,SAS,20,2,"$3,998,640","$3,998,640",100.00%,"$1,999,320",2023
Bates-DiopKeita Bates-Diop (2018-2020) ,SF,MIN,23,3,"$3,919,177","$2,255,316",57.55%,"$1,306,392",2021
HartensteinIsaiah Hartenstein (2018-2020) ,PF,HOU,21,3,"$3,919,177","$838,464",21.39%,"$1,306,392",2021
Trent Jr.Gary Trent Jr. (2018-2020) ,SG,POR,20,3,"$3,919,177","$3,919,177",100.00%,"$1,306,392",2021
ThomasKhyri Thomas (2018-2020) ,SG,DET,23,3,"$3,919,177","$2,255,316",57.55%,"$1,306,392",2021
VanderbiltJarred Vanderbilt (2018-2020) ,PF,DEN,20,3,"$3,919,177","$2,255,316",57.55%,"$1,306,392",2021
BrownBruce Brown (2018-2020) ,SG,DET,23,3,"$3,919,177","$2,255,316",57.55%,"$1,306,392",2021
MetuChimezie Metu (2018-2020) ,PF,SAS,22,3,"$3,919,177","$2,255,316",57.55%,"$1,306,392",2021
JacksonFrank Jackson (2017-2019) ,PG,NOP,21,3,"$3,812,377","$3,812,377",100.00%,"$1,270,792",2020
BaconDwayne Bacon (2017-2019) ,SF,CHA,24,3,"$3,812,377","$3,812,377",100.00%,"$1,270,792",2020
BrooksDillon Brooks (2017-2019) ,SF,MEM,23,3,"$3,812,377","$2,193,857",57.55%,"$1,270,792",2020
BrownSterling Brown (2017-2019) ,SG,MIL,24,3,"$3,812,377","$3,812,377",100.00%,"$1,270,792",2020
O'NealeRoyce O'Neale (2017-2019) ,SF,UTH,26,3,"$3,812,377","$2,193,857",57.55%,"$1,270,792",2020
NapierShabazz Napier (2018-2019) ,PG,MINSigned w/BKN,28,2,"$3,787,723","$3,787,723",100.00%,"$1,893,862",2020
ClarkGary Clark (2018-2020) ,SF,HOU,24,3,"$3,677,585","$2,013,724",54.76%,"$1,225,862",2021
HezonjaMario Hezonja (2019-2020) ,SG,POR,24,2,"$3,660,281","$3,660,281",100.00%,"$1,830,141",2021
BenderDragan Bender (2019-2020) ,PF,MIL,21,2,"$3,502,857","$600,000",17.13%,"$1,751,429",2021
NwabaDavid Nwaba (2019-2020) ,SG,BKN,26,2,"$3,502,857","$1,678,854",47.93%,"$1,751,429",2021
CousinsDeMarcus Cousins (2019-2019) ,C,LAL,29,1,"$3,500,000","$3,500,000",100.00%,"$3,500,000",2020
KorkmazFurkan Korkmaz (2019-2020) ,SG,PHI,22,2,"$3,383,360","$1,620,564",47.90%,"$1,691,680",2021
ConnaughtonPat Connaughton (2018-2019) ,SG,MIL,26,2,"$3,364,050","$3,364,050",100.00%,"$1,682,025",2020
Porter Jr.Kevin Porter Jr. (2019-2020) ,SG,CLE,19,2,"$3,324,120","$3,324,120",100.00%,"$1,662,060",2023
JeffersonAmile Jefferson (2019-2020) ,PF,ORL,26,2,"$3,282,647",-,-,"$1,641,324",2021
OkaforJahlil Okafor (2018-2019) ,C,NOP,23,2,"$3,269,493","$1,621,330",49.59%,"$1,634,747",2020
GrahamTreveon Graham (2018-2019) ,SG,MINSigned w/BKN,26,2,"$3,157,958","$3,157,958",100.00%,"$1,578,979",2020
WoodChristian Wood (2018-2019) ,PF,DETSigned w/MIL,24,2,"$3,157,958","$2,335,280",73.95%,"$1,578,979",2020
Jones Jr.Derrick Jones Jr. (2018-2019) ,SF,MIA,22,2,"$3,157,958","$3,157,958",100.00%,"$1,578,979",2020
AntetokounmpoThanasis Antetokounmpo (2019-2020) ,SF,MIL,27,2,"$3,147,290","$3,147,290",100.00%,"$1,573,645",2021
McKinnieAlfonzo McKinnie (2018-2019) ,PF,CLESigned w/GSW,27,2,"$2,937,614","$1,349,383",45.93%,"$1,468,807",2020
MykhailiukSviatoslav Mykhailiuk (2018-2019) ,SG,DETSigned w/LAL,22,2,"$2,904,546","$2,904,546",100.00%,"$1,452,273",2020
TolliverAnthony Tolliver (2019-2019) ,PF,POR,34,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
BareaJose Barea (2019-2019) ,PG,DAL,35,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
SefoloshaThabo Sefolosha (2019-2019) ,SF,HOU,35,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
DudleyJared Dudley (2019-2019) ,SF,LAL,34,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
ChandlerWilson Chandler (2019-2019) ,SF,BKN,32,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
GreenJeff Green (2019-2019) ,SF,UTH,33,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
GreenGerald Green (2019-2019) ,SG,HOU,33,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
CarterVince Carter (2019-2019) ,SG,ATL,42,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
ChandlerTyson Chandler (2019-2019) ,C,HOU,37,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
HaslemUdonis Haslem (2019-2019) ,PF,MIA,39,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
AndersonRyan Anderson (2019-2019) ,PF,HOU,31,1,"$2,564,753","$500,000",19.50%,"$2,564,753",2020
GasolPau Gasol (2019-2019) ,C,POR,39,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
HowardDwight Howard (2019-2019) ,C,LAL,33,1,"$2,564,753",-,-,"$2,564,753",2020
KorverKyle Korver (2019-2019) ,SG,MIL,38,1,"$2,564,753","$2,564,753",100.00%,"$2,564,753",2020
Hollis-JeffersonRondae Hollis-Jefferson (2019-2019) ,SF,TOR,24,1,"$2,500,000","$2,500,000",100.00%,"$2,500,000",2020
CunninghamDante Cunningham (2018-2018) ,PF,SAS,32,1,"$2,487,000","$2,487,000",100.00%,"$2,487,000",2019
FrazierMelvin Frazier (2018-2020) ,SF,ORL,23,2,"$2,466,852","$2,466,852",100.00%,"$1,233,426",2021
DavisTerence Davis (2019-2020) ,SG,TOR,22,2,"$2,416,291","$898,310",37.18%,"$1,208,146",2021
BrazdeikisIgnas Brazdeikis (2019-2020) ,SF,NYK,20,2,"$2,416,291","$2,416,291",100.00%,"$1,208,146",2022
Horton-TuckerTalen Horton-Tucker (2019-2020) ,SG,LAL,18,2,"$2,416,291","$2,416,291",100.00%,"$1,208,146",2021
GreenJavonte Green (2019-2020) ,G,BOS,26,2,"$2,416,291",-,-,"$1,208,146",2021
PachuliaZaza Pachulia (2018-2018) ,C,DET,35,1,"$2,393,887","$2,393,887",100.00%,"$2,393,887",2019
FeltonRaymond Felton (2018-2018) ,PG,OKC,35,1,"$2,393,887","$2,393,887",100.00%,"$2,393,887",2019
HarrisDevin Harris (2018-2018) ,PG,DAL,36,1,"$2,393,887","$2,393,887",100.00%,"$2,393,887",2019
CrawfordJamal Crawford (2018-2018) ,SG,PHX,39,1,"$2,393,887","$2,393,887",100.00%,"$2,393,887",2019
FryeChanning Frye (2018-2018) ,PF,CLE,36,1,"$2,393,887","$2,393,887",100.00%,"$2,393,887",2019
CalderonJose Calderon (2018-2018) ,PG,DET,38,1,"$2,393,887","$2,393,887",100.00%,"$2,393,887",2019
CabocloBruno Caboclo (2018-2019) ,SF,MEM,24,2,"$2,367,451","$822,150",34.73%,"$1,183,726",2020
